Company,funding_id,County,Distress Tier (1 is highest),Primary address,Other counties,Award date,Program,Status,Announced new jobs,Actual new jobs,Projected award,Awarded to date,Grant term (days),Elapsed days,Minimum new jobs,Minimum retained jobs,Actual retained jobs,Minimum average wage,Actual average wage,Announced wage,Investment required,Actual investment,count-project,count-grant,lat,lng,
Electrolux Home Products,203,Mecklenburg&nbsp;County,3,"10200 David Taylor Drive									, Charlotte, NC 28262-2373",,12/16/09,JDIG,Active,738,745,"$24,830,250","$5,769,282","1,460","1,460",590,22,22,"$84,838","$118,458.00",,"$7,470,000","$13,767,567.00",0,1,35.32791,-80.7615,
Electrolux Home Products,204,Mecklenburg&nbsp;County,3,"1002 David Taylor Drive, Charlotte, NC",,12/16/09,One NC,"Closed, Funds Disbursed",738,745,"$1,200,000","$1,200,000","1,460","1,460",574,22,22,"$1,632","$2,278.00",,"$7,470,000","$26,039,806.00",1,1,35.32415,-80.7554,
Electrolux Home Products,346,Mecklenburg&nbsp;County,3,"10200 David Taylor Drive, Charlotte, NC 28262-2373",,4/19/11,JDIG,"Terminated, $0 Reimbursements Issued",200,Not Reported,"$6,925,500",$0,"1,460","1,460",160,760,Not Reported,"$81,135",Not Reported,"$90,150","$12,600,000",Not Reported,0,0,35.32791,-80.7615,
Electrolux Home Products,348,Mecklenburg&nbsp;County,3,"10200 David Taylor Drive, Charlotte, NC 28262-2373",,4/19/11,One NC,"Closed, $0 Disbursed",200,0,"$325,000",$0,"1,460","1,460",148,760,760,"$1,560",$0.00,"$90,150","$12,600,000",$0.00,1,1,35.32791,-80.7615,
Ellwood Advanced Components,489,Forsyth&nbsp;County,3,"3050 Westinghouse Road, Rural Hall, NC",,11/19/12,One NC,"Closed, $0 Disbursed",55,0,"$188,000",$0,"1,825","1,825",50,145,145,$849,"$1,012.00","$49,028","$29,700,000","$8,598,000.00",1,1,36.231,-80.3228,
EMC Corp,181,Wake&nbsp;County,3,"5800 Technology Drive, Apex, NC 27539-4900",Durham (Tier 3),9/24/09,JDIG,Active,397,394,"$7,434,000","$1,648,500","1,825","1,559",357,914,971,"$65,993","$89,262.00","$73,325","$252,202,500","$289,341,232.00",1,1,35.61372,-78.5675,
Empire Foods,275,Halifax&nbsp;County,1,"Halifax Corporate Park, NC Highway 561, NC",,9/15/10,One NC,Active,200,0,"$400,000",$0,"1,825","1,568",180,0,0,$546,$0.00,"$28,418","$2,500,000",$0.00,1,1,36.31225,-77.6062,
Enviva,304,Hertford&nbsp;County,1,"Former Georgia Pacific Lumber Facility, Ahoskie, NC",,12/9/10,One NC,"Closed, Funds Disbursed",53,64,"$270,000","$270,000","1,095","1,095",48,0,0,$670,$754.00,"$38,736","$46,800,000","$66,567,844.00",1,1,36.27164,-76.9678,
Enviva,378,Northampton&nbsp;County,1,"Greenfield Industrial Site, Northampton County, NC",,8/3/11,One NC,"Closed, Funds Disbursed",62,36,"$300,000","$195,000","1,095","1,095",56,53,53,$666,$745.00,"$38,484","$54,000,000","$93,736,786.00",1,1,36.50292,-77.6059,
Ernie Green Industries,298,Randolph&nbsp;County,2,"6966 Highway 220 South, Asheboro, NC",,11/16/10,One NC,"Closed, $0 Disbursed",96,0,"$80,000",$0,"1,095","1,095",86,0,0,$536,$0.00,"$30,975","$1,575,000",$0.00,1,1,35.56778,-79.7945,
Ethan Allen Operations,163,Catawba&nbsp;County,2,"700 South Main Ave, Maiden, NC",,6/2/09,One NC,"Closed, Funds Disbursed",302,204,"$109,000","$7,680","1,095","1,095",143,683,683,$691,$697.00,"$39,946","$2,430,000","$2,929,175.00",1,1,35.56673,-81.2176,
Ethan Allen Operations,262,McDowell&nbsp;County,1,"912 E Main Street, Old Fort, NC",,8/3/10,One NC,Active,90,0,"$270,000",$0,"1,825","1,611",81,426,426,$461,$0.00,"$26,645","$225,000",$0.00,1,1,35.63358,-82.1723,
Exela Pharma Sciences,505,Caldwell&nbsp;County,1,"County of Caldwell, NC",,1/3/13,One NC,"Closed, Funds Disbursed",38,57,"$189,000","$189,000","1,095","1,095",34,47,47,$820,$956.00,"$47,395","$7,650,000","$7,764,607.00",1,1,35.95235,-81.5545,
FAS Controls,300,Cleveland&nbsp;County,1,"1100 Airport Road, Shelby, NC",,11/18/10,One NC,"Closed, Funds Disbursed",52,79,"$45,000","$45,000","1,095","1,095",47,119,119,$490,$732.00,"$28,308","$1,350,000","$1,686,466.00",1,1,35.31019,-81.5107,
FASTA of North Carolina,145,Halifax&nbsp;County,1,"231 Hwy 158, Littleton, NC",,3/13/09,One NC,"Closed, $0 Disbursed",105,0,"$300,000",$0,"1,095","1,095",95,0,0,$497,$0.00,"$28,707","$2,250,000",$0.00,1,1,36.45902,-77.8124,
FCC North Carolina,463,Scotland&nbsp;County,1,"16700 Airport Rd, Maxton, NC",,8/3/12,One NC,"Closed, Funds Disbursed",66,128,"$264,000","$264,000","1,095","1,095",59,144,144,$541,$764.00,"$27,272","$51,800,000","$95,391,062.00",1,1,34.79599,-79.3714,
Fendrich Industries,476,Polk&nbsp;County,2,"250 Scriven Road, Tryon, NC",,10/2/12,One NC,"Closed, Funds Disbursed",23,21,"$115,000","$115,000","1,095","1,095",21,43,43,$497,$574.00,"$28,739","$669,000","$870,218.00",1,1,35.21875,-82.2383,
Ferraro Foods of North Carolina,394,Alamance&nbsp;County,2,"2031 Park Center Drive, Mebane, NC",,11/3/11,One NC,Active,23,12,"$70,000","$35,000","1,460","1,154",21,58,58,$764,$874.00,"$44,130","$5,377,500","$7,108,621.00",1,1,36.09897,-79.2986,
FerroFab,458,Richmond&nbsp;County,1,"1150 Hylan Ave, Hamlet, NC",,6/28/12,One NC,Active,54,0,"$81,000",$0,"1,095",916,49,0,0,$577,$0.00,"$30,019","$450,000",$0.00,1,1,34.89789,-79.7216,
Fiserv,190,Catawba&nbsp;County,2,"2415 Century Place SE, Hickory, NC",,10/27/09,One NC,"Closed, Funds Disbursed",419,438,"$800,000","$800,000","1,095","1,095",377,7,7,$439,$544.00,"$25,368","$4,400,000","$6,035,953.00",1,1,35.72877,-81.2823,
Fountain Powerboat Industries,295,Beaufort&nbsp;County,1,"1653 Whichard's Beach Road, Washington, NC",,11/10/10,One NC,"Closed, $0 Disbursed",411,0,"$150,000",$0,"1,825","1,825",370,75,75,$613,$0.00,"$35,657","$4,590,000",$0.00,1,1,35.5866,-77.0927,
Freshouse,481,Rowan&nbsp;County,2,"209 Long Meadow Drive, Salisbury, NC",,10/12/12,One NC,Active,90,0,"$100,000",$0,"1,095",810,81,116,116,$458,$0.00,"$25,555","$5,690,000","$5,400,000.00",1,1,35.62427,-80.5313,
Frontier Logistics,318,Montgomery&nbsp;County,1,"109 Russell Drive, Star, NC",,1/18/11,One NC,"Closed, $0 Disbursed",71,0,"$128,000",$0,"1,825","1,825",50,0,0,$808,$0.00,"$47,577","$4,600,000",$0.00,1,1,35.40676,-79.7869,
Gates Corp,325,Ashe&nbsp;County,2,"101 Gates Lane, Jefferson, NC",,2/21/11,One NC,"Closed, $0 Disbursed",58,0,"$100,000",$0,"1,095","1,095",52,265,265,$428,$0.00,"$24,723","$4,140,000",$0.00,1,1,36.42461,-81.4817,
Geiger International,347,Burke&nbsp;County,1,"Hildebran, NC",,4/19/11,One NC,"Closed, Funds Disbursed",64,59,"$128,000","$128,000","1,095","1,095",58,24,24,$584,$688.00,"$33,754","$3,352,500","$4,702,808.00",1,1,35.71402,-81.422,
Gildan Activewear,495,Rowan&nbsp;County,2,"2121 Heilig Road, Salisbury, NC 28146-2316",,12/19/12,JDIG,Active,170,69,"$1,558,050",$0,730,377,153,394,446,"$34,134","$39,350.00","$35,882","$46,447,200",$0.00,1,1,35.62046,-80.4712,
GKN Driveline,452,Person&nbsp;County,2,"6400 Durham Road, Timberlake, NC 27583-9587",,6/15/12,JDIG,Active,131,59,"$1,121,150","$45,221","1,825",564,124,"1,046",1046,"$36,997","$45,455.00","$41,108","$21,744,000",$0.00,0,1,36.29936,-78.971,
GKN Driveline,453,Person&nbsp;County,2,"6400 Durham Road, Timberlake, NC",,6/15/12,One NC,Active,131,59,"$175,000","$88,000","1,095",929,95,996,996,$711,$874.00,"$41,108","$21,744,000","$21,899,766.00",1,1,36.29936,-78.971,
Global Packaging Inc,317,Richmond&nbsp;County,1,"106 Marks Creek Lane, Hamlet, NC",,1/13/11,One NC,"Closed, Funds Disbursed",64,16,"$64,000","$16,000","1,095","1,095",58,0,0,$815,$912.00,"$47,078","$1,530,000","$2,229,710.00",1,1,34.87714,-79.7052,
Global Textile Alliance,474,Rockingham&nbsp;County,1,"2361 Holiday Loop Road, Reidsville, NC",,9/21/12,One NC,Active,55,68,"$150,000",$0,"1,460",831,50,137,137,$545,$726.00,"$27,272","$6,660,000","$3,874,239.00",1,1,36.31426,-79.6301,
GMAC Financial Services,146,Mecklenburg&nbsp;County,3,"440 S Church St									, Charlotte, NC 28202-2075",,3/20/09,JDIG,Active,200,231,"$4,490,250","$1,895,250",730,730,180,265,432,"$86,512","$277,574.00","$96,124","$5,400,000","$10,590,629.00",1,1,35.22559,-80.8479,
Gourmet Group,391,Rutherford&nbsp;County,1,"160 Executive Drive, Rutherfordton, NC",,10/27/11,One NC,"Closed, $0 Disbursed",136,0,"$270,000",$0,"1,095","1,095",122,0,0,$590,$0.00,"$34,093","$2,083,860",$0.00,1,1,35.36285,-81.9497,
Greenheck Fan Corp,457,Cleveland&nbsp;County,1,"Enterprise Drive, Kings Mountain, NC",,6/27/12,One NC,"Closed, Funds Disbursed",62,66,"$150,000","$150,000","1,095","1,095",56,54,54,$615,$662.00,"$31,985","$7,020,000","$7,906,706.00",1,1,35.42242,-80.6545,
Greiner Bio-One North America,237,Union&nbsp;County,3,"4238 Capital Drive, Monroe, NC",,4/20/10,One NC,"Closed, $0 Disbursed",51,0,"$100,000",$0,"1,095","1,095",46,187,187,$486,$0.00,"$28,000","$22,500,000",$0.00,1,1,35.02021,-80.6343,
Grifols Therapeutics,193,Johnston&nbsp;County,3,"8363 US Hwy 70 West, Clayton, NC 27520",,11/13/09,JDIG,"Terminated, $0 Reimbursements Issued",259,Not Reported,"$3,660,750",$0,"1,825","1,825",233,"2,298",Not Reported,"$45,959",Not Reported,"$51,066","$241,830,000",Not Reported,0,0,35.59153,-78.3989,
Grifols Therapeutics,194,Johnston&nbsp;County,3,"8363 US Highway 70 West, Clayton, NC",,11/13/09,One NC,"Closed, $0 Disbursed",259,0,"$250,000",$0,"1,825","1,825",128,"2,289",2289,$884,$0.00,"$51,066","$241,830,000",$0.00,1,1,35.59153,-78.3989,
Gunboat Company,421,Dare&nbsp;County,2,"829 Harbor Road, Wanchese, NC",,1/25/12,One NC,"Closed, Funds Disbursed",71,75,"$213,000","$213,000","1,095","1,095",64,0,0,$469,$720.00,"$27,093","$1,650,000","$2,309,017.00",1,1,35.84546,-75.6258,
Hamilton Sundstrand Corp,447,Mecklenburg&nbsp;County,3,"2730 West Tyvola Road, Charlotte, NC 28217-4576",,6/13/12,JDIG,Active,325,273,"$16,539,000","$1,569,117","1,825",566,293,0,0,"$160,098","$209,982.00","$100,000",$0,$0.00,1,1,35.18744,-80.9214,
Hamilton Sundstrand Corp,448,Mecklenburg&nbsp;County,3,"2730 W Tyvola Road, Charlotte, NC",,6/13/12,One NC,Active,325,221,"$2,481,644","$1,324,474","1,460",931,293,0,0,"$3,079","$4,545.00","$100,000",$0,"$8,037,132.00",0,1,35.18744,-80.9214,
Harvest Time Bread of North Carolina,227,Surry&nbsp;County,1,"501 Mountain View Lane, Mt Airy, NC",,3/25/10,One NC,"Closed, $0 Disbursed",38,0,"$100,000",$0,"1,095","1,095",34,86,86,$446,$0.00,"$25,790","$4,050,000",$0.00,1,1,36.48105,-80.622,
HC Composites,144,Edgecombe&nbsp;County,1,"1090 West Saint James Street, Tarboro, NC",,3/9/09,One NC,"Closed, Funds Disbursed",120,15,"$130,000","$18,200",730,730,108,60,60,$512,$685.00,"$29,560","$2,340,000","$2,376,243.00",1,1,35.8874,-77.5515,
Henkel Corp,155,Rowan&nbsp;County,2,"485 Cedar Springs Road, Salisbury, NC",,5/4/09,One NC,"Closed, Funds Disbursed",103,104,"$206,000","$206,000","1,095","1,095",93,94,94,$948,"$1,960.00","$54,763","$21,330,000","$19,154,520.00",1,1,35.62735,-80.53,
Henniges Automotive North Carolina,400,Rockingham&nbsp;County,1,"226 Watlington Industrial Drive, Reidsville, NC",,11/16/11,One NC,"Closed, $0 Disbursed",64,0,"$65,000",$0,"1,095","1,095",58,238,238,$482,$0.00,"$27,849","$2,011,500",$0.00,1,1,36.32823,-79.647,
Herbalife International of America,496,Halifax&nbsp;County,1,"3200 Temple School Rd, Winston-Salem, NC 27107-3628",,12/19/12,JDIG,Active,493,Not Reported,"$5,559,000",$0,730,377,444,0,Not Reported,"$36,174",Not Reported,"$40,162","$117,000,000",Not Reported,0,0,36.05818,-80.1274,
Herbalife International of America,498,Forsyth&nbsp;County,3,"3200 Temple School Road, Winston-Salem, NC",,12/19/12,One NC,Active,493,0,"$1,000,000",$0,"1,095",742,444,0,0,$696,$0.00,"$40,162","$117,000,000",$0.00,1,1,36.05818,-80.1274,
Hewitt Associates,229,Mecklenburg&nbsp;County,3,"7201 Hewitt Associates Drive									, Charlotte, NC 28262-4001",,3/31/10,JDIG,Active,463,483,"$4,017,750","$1,441,066","1,095","1,095",417,534,534,"$39,094","$50,513.00","$43,600",$0,$0.00,1,1,35.30626,-80.7754,
Hitachi Metals,410,Rowan&nbsp;County,2,"1 Hitachi Metals Drive, China Grove, NC",,12/19/11,One NC,Active,65,0,"$153,700",$0,"1,095","1,095",59,65,65,$729,$0.00,"$43,108","$54,900,000",$0.00,1,1,35.57169,-80.5533,
Hof Textiles,501,Lincoln&nbsp;County,3,"1968 Kawai Road, Lincolnton, NC",,12/28/12,One NC,Active,26,15,"$50,000",$0,"1,095",733,23,67,67,$563,$737.00,"$32,538","$6,480,000","$7,200,000.00",1,1,35.42957,-81.2738,
Honda Aircraft Co,386,Guilford&nbsp;County,3,"6430 Ballinger Road, Greensboro, NC",,10/10/11,One NC,Active,419,240,"$1,000,000","$580,788","1,825","1,178",377,346,346,$917,"$1,092.00","$53,418","$70,830,000","$134,540,965.00",1,1,36.1019,-79.9107,
Hospira,468,Nash&nbsp;County,2,"4285 N Wesleyan Blvd, Rocky Mount, NC",,8/22/12,One NC,Active,200,223,"$645,000","$483,750","1,095",861,180,"2,700",2700,$896,"$1,075.00","$51,780","$76,500,000","$105,290,034.00",1,1,36.03429,-77.7655,
Husqvarna Professional Products,209,Mecklenburg&nbsp;County,3,"9335 Harris Corniers Parkway, Charlotte, NC 28269-3830",,1/7/10,JDIG,Active,160,169,"$2,619,750","$851,250",730,730,144,160,171,"$71,508","$102,190.00","$79,453","$7,425,000","$7,681,155.00",1,1,35.34487,-80.8463,
HVM,335,Mecklenburg&nbsp;County,3,"11525 North Community House Rd									, Charlotte, NC 28277-3610",,3/30/11,JDIG,Active,170,209,"$4,724,250","$884,272","1,095","1,007",153,0,0,"$75,222","$124,709.00","$83,580",$0,$0.00,1,1,35.05956,-80.8374,
HYDAC Technology Corp,308,Lincoln&nbsp;County,2,"9836B Northcross Center Court, Huntersville, NC",,12/20/10,One NC,Active,54,0,"$75,000",$0,"1,825","1,472",49,7,7,$692,$0.00,"$43,220","$8,653,140",$0.00,1,1,35.4477,-80.8616,
IBM Lender Business Process Services,253,Durham&nbsp;County,3,"3039 E Cornwallis Rd									, Research Triangle Park, NC 27709-0154",,7/8/10,JDIG,"Terminated, $0 Reimbursements Issued",600,163,"$7,779,000",$0,730,730,540,95,95,"$45,000","$55,165.00","$50,000",$0,$0.00,1,1,35.92482,-78.8807,
Infinisource,412,Mecklenburg&nbsp;County,3,"13024 Ballantyne Corporate Place, Charlotte, NC 28277-4322",,12/28/11,JDIG,Active,162,47,"$1,913,250","$107,861","1,825",734,146,0,0,"$73,166","$80,567.00","$81,296",$0,$0.00,1,1,35.06069,-80.8475,
Ingersoll-Rand,444,Davie&nbsp;County,2,"501 Sanford Ave, Mocksville, NC",,6/1/12,One NC,"Closed, $0 Disbursed",60,0,"$50,000",$0,"1,095","1,095",54,"2,346",2346,$610,$0.00,"$35,230","$19,710,000",$0.00,1,1,35.89201,-80.5701,
Inmar,440,Forsyth&nbsp;County,,"635 Vine St, Winston-Salem, NC 27101-4185",,4/26/12,JDIG,Active,212,78,"$4,167,000","$126,674","1,825",614,191,723,723,"$65,505","$96,699.00","$72,783","$22,050,000",$0.00,1,1,36.1022,-80.2403,
Inmar,441,Forsyth&nbsp;County,3,"635 Vine St, Winston-Salem, NC 27101-4185",,4/26/12,One NC,Active,212,99,"$237,000","$145,000",730,730,142,723,723,"$1,260","$1,262.00","$72,783","$22,050,000","$2,732,748.00",0,1,36.1022,-80.2403,
Innovative Emergency Management,200,Durham&nbsp;County,3,"2400 Ellis Road, Suite 200								, Durham, NC 27703-5543",,12/14/09,JDIG,Active,430,49,"$9,012,750","$99,552","1,825","1,478",387,7,7,"$56,500","$74,518.00","$62,778",$0,$0.00,1,1,35.93823,-78.8517,
Innovative Emergency Management,201,Durham&nbsp;County,3,"2400 Ellis Road, Research Triangle Park, NC",,12/14/09,One NC,"Closed, $0 Disbursed",430,0,"$150,000",$0,"1,460","1,460",207,7,7,"$1,087",$0.00,"$62,778",$0,$0.00,0,1,35.93592,-78.8546,
Janesville Acoustics,354,McDowell&nbsp;County,1,"157 Lackey Town Road, Old Fort, NC",,5/10/11,One NC,"Closed, Funds Disbursed",40,62,"$120,000","$120,000","1,095","1,095",36,111,111,$567,$672.21,"$32,750","$1,350,000","$146,472.00",1,1,35.63113,-82.173,
JE Ekornes USA,375,Burke&nbsp;County,1,"Morganton, NC",,7/20/11,One NC,"Closed, Funds Disbursed",58,36,"$100,000","$50,000","1,095","1,095",52,0,0,$533,$696.76,"$30,464","$1,179,000","$1,248,556.10",1,1,35.77299,-81.6762,
JELD-WEN,493,Mecklenburg&nbsp;County,3,"440 South Church St, Charlotte, NC 28202-1904",,12/13/12,JDIG,Active,142,88,"$2,546,250","$167,251",730,383,135,0,0,"$85,379","$147,449.00","$94,366",$0,$0.00,1,1,35.22559,-80.8479,
Joseph T Ryerson & Son,435,Wayne&nbsp;County,2,"1923 Hwy 581N, Pikeville, NC",,4/13/12,One NC,Active,44,0,"$100,000",$0,"1,095",992,40,155,155,$572,$0.00,"$33,540","$2,700,000",$0.00,1,1,35.48791,-78.0585,
Kalo Foods,486,Rockingham&nbsp;County,1,"1808 Norwood St SW, Lenoir, NC",,11/6/12,One NC,Active,21,3,"$70,000",$0,"1,095",785,19,0,0,$599,$567.00,"$33,524","$584,000","$454,000.00",1,1,35.88218,-81.52,
Kendrion,425,Cleveland&nbsp;County,1,"1100 Airport Road, Shelby, NC",,2/10/12,One NC,Active,57,0,"$228,000",$0,"1,460","1,055",51,203,203,$563,$0.00,"$32,544","$6,570,000",$0.00,1,1,35.31019,-81.5107,
Kiln Drying Systems and Components,367,Henderson&nbsp;County,3,"234 Industrial Drive, Etowah, NC",,7/5/11,One NC,"Closed, $0 Disbursed",10,0,"$19,700",$0,"1,095","1,095",9,32,32,$874,$0.00,"$50,500","$1,246,500",$0.00,1,1,35.63535,-82.0074,
Kings Plush,382,Cleveland&nbsp;County,1,"Marie St, Kings Mountain, NC",,8/26/11,One NC,Active,62,0,"$56,000",$0,"1,460","1,223",56,171,171,$431,$0.00,"$22,580","$4,427,550",$0.00,1,1,35.23382,-81.3259,
Klausner Lumber,497,Forsyth&nbsp;County,3,"260 Piper Lane, Enfield, NC 27823-8974",,12/19/12,JDIG,Active,350,0,"$3,913,000",$0,"1,095",377,315,0,0,"$29,343",$0.00,"$32,603","$99,000,000",$0.00,0,1,36.21805,-77.6312,
Klausner Lumber,500,Halifax&nbsp;County,1,"Piper Lane, Enfield, NC",,12/19/12,One NC,Active,350,0,"$750,000",$0,"1,095",742,315,0,0,$564,$0.00,"$32,603","$99,000,000",$0.00,1,1,36.21664,-77.6345,
Kleen Tech,272,Burke&nbsp;County,1,"690 Lovelady Road NE, Valdese, NC",,9/8/10,One NC,"Closed, Funds Disbursed",30,38,"$54,000","$54,000","1,095","1,095",27,75,75,$448,$476.00,"$25,884","$1,057,500","$1,418,000.00",1,1,35.7617,-81.5437,
Knit-Rite,195,Richmond&nbsp;County,1,"126 Mill Street, Ellerbe, NC",,11/16/09,One NC,"Closed, Funds Disbursed",24,22,"$24,000","$24,000","1,095","1,095",22,44,44,$389,$599.00,"$22,533","$1,044,000","$1,375,750.00",1,1,35.07558,-79.7596,
Laboratory Corp of America Holdings,218,Guilford&nbsp;County,3,"High Point Road Corridor, Greensboro, NC",,2/10/10,One NC,"Closed, Funds Disbursed",346,344,"$275,000","$275,000","1,095","1,095",311,0,0,$450,$534.00,,"$3,600,000","$5,139,005.00",1,1,36.05931,-79.8273,
Lanxess Corp,329,Gaston&nbsp;County,2,"Gastonia, NC",,3/8/11,One NC,"Closed, Funds Disbursed",55,39,"$250,000","$195,000","1,095","1,095",50,0,0,$710,"$1,198.00","$41,047","$13,500,000","$25,121,814.00",1,1,35.28402,-81.1897,
Leviton Manufacturing Co,471,Burke&nbsp;County,1,"113 Industrial Blvd, Morganton, NC 28655-8285",,9/10/12,JDIG,Active,152,129,"$1,101,000","$104,034","1,095",477,137,531,531,"$31,939","$36,337.00","$35,488","$6,574,500",$0.00,1,1,35.73024,-81.7507,
Linamar,364,Buncombe&nbsp;County,3,"2169 Hendersonville Road									, Arden, NC 28704-9742",,6/30/11,JDIG,Active,363,173,"$2,518,500","$243,000","1,460",915,327,0,0,"$35,938","$47,515.00","$39,931","$72,000,000",$0.00,0,1,35.47974,-82.5245,
Linamar,365,Buncombe&nbsp;County,3,"2169 Hendersonville Road, Asheville, NC",,6/30/11,One NC,Active,363,173,"$200,000","$122,000","1,095","1,095",222,0,0,$691,$914.00,"$39,931","$72,000,000","$62,888,483.00",1,1,35.48487,-82.5255,
Linamar,456,Buncombe&nbsp;County,3,"2169 Hendersonville Rd								, Arden, NC 28704-9742",,6/21/12,JDIG,Active,250,Not Reported,"$1,951,500",$0,"1,460",558,225,363,Not Reported,"$38,288",Not Reported,"$42,542","$67,500,000",Not Reported,0,0,35.47974,-82.5245,
Loparex,161,Rockingham&nbsp;County,1,"816 Fieldcrest Rd, Eden, NC 27288-3633",Wake (Tier 3),5/27/09,JDIG,Active,128,101,"$2,358,500","$107,026","1,095","1,095",115,92,92,$0,"$81,563.00",,"$12,000,000","$12,014,582.00",1,1,36.51256,-79.7147,
LORD Corp,369,Wake&nbsp;County,3,"111 Lord Drive, Cary, NC 27511-7923",,7/12/11,JDIG,Active,117,52,"$1,308,750","$128,250","1,825",903,117,329,329,"$81,487","$166,516.00","$81,487","$20,000,000",$0.00,1,1,35.73203,-78.8087,
LS Tractor USA,153,Nash&nbsp;County,2,"Rocky Mount, NC",,4/22/09,JDIG,"Terminated, Reimbursements Issued",134,20,"$994,500","$14,511","1,825","1,825",134,0,0,"$37,350","$45,997.00","$41,500","$12,420,000",$0.00,1,1,34.43588,-78.6171,
LSA America,340,Halifax&nbsp;County,1,"231 US Hwy 158, Halifax-Northampton Regional Airport, Littleton, NC",,4/5/11,One NC,"Closed, $0 Disbursed",34,0,"$136,000",$0,"1,095","1,095",31,0,0,$475,$0.00,"$28,118","$360,000",$0.00,1,1,36.45902,-77.8124,
Lubrimetal Corp,419,Caldwell&nbsp;County,1,"435 South Main St, Granite Falls, NC",,1/19/12,One NC,"Closed, Funds Disbursed",19,8,"$38,000","$17,860","1,095","1,095",17,0,0,$715,$837.00,"$41,316","$1,710,000","$1,775,185.00",1,1,35.78122,-81.4037,
Lydall,328,Yadkin&nbsp;County,2,"601 East Main Street, Yadkinville, NC",,3/3/11,One NC,"Closed, $0 Disbursed",170,0,"$300,000",$0,"1,095","1,095",153,501,501,$480,$0.00,"$25,294","$13,500,000",$0.00,1,1,36.1352,-80.6457,
Magna Composites,250,Caldwell&nbsp;County,1,"601 Hibriten Dr SW, Lenoir, NC 28645-6389","Rowan, Catawba (Both tier 2)",6/14/10,JDIG,"Terminated, Reimbursements Issued",327,148,"$1,111,800","$186,119","1,460","1,460",294,360,360,"$30,017","$46,634.00","$33,352","$9,000,000","$10,320,485.00",1,1,35.88652,-81.5252,
Malt-O-Meal,299,Randolph&nbsp;County,2,"2525 Bank Street, Asheboro, NC",,11/17/10,One NC,"Closed, Funds Disbursed",80,74,"$350,000","$350,000","1,095","1,095",72,200,200,$563,"$1,021.00","$34,508","$121,500,000","$147,734,813.00",1,1,35.77492,-79.8128,
Maple Springs Laundry,207,Burke&nbsp;County,1,"2910 Main Ave NW, Hickory, NC",,12/28/09,One NC,"Closed, Funds Disbursed",68,14,"$136,000","$31,280","1,095","1,095",62,190,190,$399,$614.00,,"$5,384,700","$11,213,302.00",1,1,35.72973,-81.3868,
Marbach America,408,Mecklenburg&nbsp;County,3,"100-B Forsyth Hall Drive, Charlotte, NC",,11/30/11,One NC,"Closed, Funds Disbursed",30,30,"$50,000","$50,000","1,095","1,095",27,0,0,$666,"$1,000.00",,"$2,700,000","$2,920,000.00",1,1,35.09928,-80.829,
Marves Industries,199,Burke&nbsp;County,1,"205 Cline Park Drive, Hildebran, NC",,12/7/09,One NC,"Closed, $0 Disbursed",66,0,"$200,000",$0,"1,095","1,095",59,0,0,$546,$0.00,"$33,636","$1,575,061",$0.00,1,1,35.71828,-81.414,
Masterbrand Cabinets,238,Lenoir&nbsp;County,1,"651 Collier Lofton Road, Kinston, NC",,4/21/10,One NC,"Closed, Funds Disbursed",334,188,"$200,000","$100,000","1,095","1,095",301,249,249,$446,$0.00,"$25,787","$3,375,000","$4,047,178.00",1,1,35.23097,-77.58,
Medicago USA,266,Durham&nbsp;County,3,"Research Triangle Park, Durham, NC",,8/9/10,One NC,"Closed, Funds Disbursed",85,53,"$128,000","$64,000","1,095","1,095",77,0,0,$869,"$1,589.67","$50,229","$9,720,000","$36,734,085.00",1,1,36.00321,-78.9376,
Michelin North America,231,Stanly&nbsp;County,2,"South Stanly School Road, Norwood NC",,4/9/10,One NC,"Closed, Funds Disbursed",74,136,"$620,000","$620,000","1,095","1,095",67,306,306,$619,$968.00,"$35,784","$10,170,000","$13,611,413.00",1,1,35.23177,-80.1402,
Midway Aircraft Instrument Corp,491,Union&nbsp;County,3,"1419 N Rocky River Road, Monroe, NC",,12/11/12,One NC,Active,36,22,"$12,500",$0,"1,095",750,32,0,0,$870,"$1,044.00","$50,019","$2,070,000","$2,252,058.00",1,1,35.0099,-80.6082,
MiTek Industries,151,Chowan&nbsp;County,2,"818 Soundside Road, Edenton, NC",,4/20/09,One NC,"Closed, $0 Disbursed",29,0,"$28,000",$0,"1,095","1,095",26,75,75,$452,$0.00,"$26,138","$1,800,000",$0.00,1,1,36.0173,-76.5635,
Mitsubishi Nuclear Energy Systems,357,Mecklenburg&nbsp;County,3,"11405 N Community House Road		, Charlotte, NC 28277-4409",,5/31/11,JDIG,"Terminated, $0 Reimbursements Issued",135,88,"$2,883,750",$0,"1,825","1,825",122,0,0,"$92,209","$176,403.00","$102,454",$0,$0.00,1,1,35.05791,-80.8363,
Moran Foods,287,Davidson&nbsp;County,2,"Lexington Business Center, Lexington, NC",,10/11/10,One NC,"Closed, $0 Disbursed",43,0,"$125,000",$0,"1,095","1,095",39,0,0,$524,$0.00,"$30,279","$21,960,000",$0.00,1,1,35.79778,-80.2622,
Morganton Pressure Vessels,160,McDowell&nbsp;County,2,"1 Alfredo Baglioni Drive, Marion, NC",,5/18/09,One NC,"Closed, Funds Disbursed",43,68,"$129,000","$129,000","1,095","1,095",39,23,23,$486,$0.00,"$28,105","$1,700,000","$1,770,335.00",1,1,35.97689,-82.1122,
